"","E1A","E1B","E1C","E2A","E2B","E2C","E3A","E3B","E3C","E4A","E4B","E4C","ETEX","ETF","S1A","S1B","S1C","S2A","S2B","S2C","S3A","S3B","S3C","S4A","S4B","S4C","STEX1","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV1",492,64,0,18756,19497,17332,16712,14907,13874,7843,8899,9030,9277,4873,0,158,407,4352,12752,11929,11581,17611,4153,571,11172,11360,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",NA
"ASV10",1826,3450,5279,146,116,0,192,241,1900,122,255,126,0,0,0,305,0,0,0,196,0,73,43,11,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"ASV100",0,0,0,37,120,21,9,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV103",0,0,0,18,0,0,19,22,14,9,28,23,0,0,0,0,0,0,95,0,24,25,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Bartsia","Bartsia_alpina"
"ASV104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,13,0,155,0,"","","","","","",""
"ASV105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,30,22,12,18,45,0,17,17,11,0,"","","","","","",""
"ASV106",70,86,30,0,0,0,13,0,0,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone",NA
"ASV107",0,0,168,30,0,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,26,0,57,139,61,0,21,59,25,0,"","","","","","",""
"ASV109",0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV11",1029,1478,1424,219,179,254,207,208,204,201,238,198,4299,0,326,0,452,1585,382,1451,4697,416,256,138,465,551,0,"","","","","","",""
"ASV111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,41,0,6,0,0,0,0,0,"","","","","","",""
"ASV112",0,0,0,14,0,0,14,32,0,40,41,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana",NA
"ASV113",0,0,0,64,9,0,98,20,21,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,"","","","","","",""
"ASV114",4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,170,75,10,23,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV115",0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,72,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus",NA
"ASV116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,0,0,0,71,48,27,8,0,0,0,0,"","","","","","",""
"ASV117",17,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,62,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Hypericaceae",NA,NA
"ASV119",59,65,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,"","","","","","",""
"ASV12",0,0,16,0,0,0,0,0,0,0,0,0,0,0,136,9169,236,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,17,15,0,0,0,0,0,0,0,"","","","","","",""
"ASV123",0,0,0,79,0,0,83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia_pratensis"
"ASV125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,187,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV126",61,99,0,12,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"ASV127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,36,0,50,45,35,15,10,20,23,0,"","","","","","",""
"ASV128",0,0,25,0,0,65,0,31,0,65,28,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Knautia",NA
"ASV129",0,99,0,0,0,17,0,32,0,27,46,31,0,0,0,0,78,0,0,58,0,0,0,0,0,0,0,"","","","","","",""
"ASV13",321,896,512,322,689,426,690,753,421,655,691,804,0,0,0,93,500,58,64,174,100,127,0,0,1001,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA
"ASV130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,125,11,31,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,"","","","","","",""
"ASV133",0,0,38,0,0,0,0,0,0,0,0,0,0,0,91,37,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",NA
"ASV136",77,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"ASV137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,72,0,0,0,0,0,"","","","","","",""
"ASV139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Ulmaceae",NA,NA
"ASV140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0,27,82,0,"","","","","","",""
"ASV141",43,30,0,0,0,0,0,0,0,0,0,0,0,0,7,5,29,6,46,7,7,0,0,0,9,0,0,"","","","","","",""
"ASV142",19,0,0,0,0,66,10,0,0,26,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"ASV143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,94,0,8,0,0,0,0,0,13,4,0,"","","","","","",""
"ASV145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,15,0,37,58,0,0,0,0,0,0,"","","","","","",""
"ASV149",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV15",83,241,223,119,59,99,70,73,47,51,84,83,1137,0,131,0,0,46,120,468,233,234,17,0,3579,101,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"ASV151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"ASV155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,0,0,9,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea_sp."
"ASV16",24,26,37,0,0,0,0,0,0,0,0,0,0,0,657,1353,4556,0,12,25,0,0,0,0,6,0,0,"","","","","","",""
"ASV160",0,44,30,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV162",25,0,0,0,0,13,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,0,"Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA
"ASV163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,15,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV164",0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_biflora"
