Echantillons	Qubit_ng_mL	Altitude_(m)	Date	Heure	sample_or_control 
E1A	16.2	1954	05_09_2023	17	Sample
E1B	8	1954	05_09_2023	17	Sample
E1C	8	1954	05_09_2023	17	Sample
E2A	6.91	1673	06_09_2023	11_30	Sample
E2B	36.2	1673	06_09_2023	11_30	Sample
E2C	0.56	1673	06_09_2023	11_30	Sample
E3A	53	1406	06_09_2023	12_45	Sample
E3B	24.7	1406	06_09_2023	12_45	Sample
E3C	8.59	1406	06_09_2023	12_45	Sample
E4A	38.9	1318	06_09_2023	14	Sample
E4B	9.1	1318	06_09_2023	14	Sample
E4C	2.19	1318	06_09_2023	14	Sample
S1A	70.5	1954	05_09_2023	17	Sample
S1B	173	1954	05_09_2023	17	Sample
S1C	85	1954	05_09_2023	17	Sample
S2A	59	1673	06_09_2023	11_30	Sample
S2B	118	1673	06_09_2023	11_30	Sample
S2C	134	1673	06_09_2023	11_30	Sample
S3A	124	1406	06_09_2023	12_45	Sample
S3B	81.9	1406	06_09_2023	12_45	Sample
S3C	110	1406	06_09_2023	12_45	Sample
S4A	77.6	1318	06_09_2023	14	Sample
S4B	61.7	1318	06_09_2023	14	Sample
S4C	38.3	1318	06_09_2023	14	Sample
ETF	0.3	0	01_2024		Control
ETEX	0.3	0	01_2024		Control
STEX1	0.3	0	01_2024		Control
STEX2	0	0	01_2024		Control
TPCR1	0	0	01_2024		Control
E1A_BHUM	16.2	1954	05_09_2023	17	Sample
E1B_BHUM	8	1954	05_09_2023	17	Sample
E1C_BHUM	8	1954	05_09_2023	17	Sample
E2A_BHUM	6.91	1673	06_09_2023	11_30	Sample
E2B_BHUM	36.2	1673	06_09_2023	11_30	Sample
E2C_BHUM	0.56	1673	06_09_2023	11_30	Sample
E3A_BHUM	53	1406	06_09_2023	12_45	Sample
E3B_BHUM	24.7	1406	06_09_2023	12_45	Sample
E3C_BHUM	8.59	1406	06_09_2023	12_45	Sample
E4A_BHUM	38.9	1318	06_09_2023	14	Sample
E4B_BHUM	9.1	1318	06_09_2023	14	Sample
E4C_BHUM	2.19	1318	06_09_2023	14	Sample
S1A_BHUM	70.5	1954	05_09_2023	17	Sample
S1B_BHUM	173	1954	05_09_2023	17	Sample
S1C_BHUM	85	1954	05_09_2023	17	Sample
S2A_BHUM	59	1673	06_09_2023	11_30	Sample
S2B_BHUM	118	1673	06_09_2023	11_30	Sample
S2C_BHUM	134	1673	06_09_2023	11_30	Sample
S3A_BHUM	124	1406	06_09_2023	12_45	Sample
S3B_BHUM	81.9	1406	06_09_2023	12_45	Sample
S3C_BHUM	110	1406	06_09_2023	12_45	Sample
S4A_BHUM	77.6	1318	06_09_2023	14	Sample
S4B_BHUM	61.7	1318	06_09_2023	14	Sample
S4C_BHUM	38.3	1318	06_09_2023	14	Sample
ETF_BHUM	0.3	0	01_2024		Control
ETEX_BHUM	0.3	0	01_2024		Control
STEX1_BHUM	0.3	0	01_2024		Control
STEX2_BHUM	0	0	01_2024		Control
TPCR1_BHUM	0	0	01_2024		Control
