Echantillons	concentration_tube	Altitude_(m)	Date	Heure	sample_or_control 
E1A	3.24	1954	05_09_2023	17	Sample
E1B	1.6	1954	05_09_2023	17	Sample
E1C	1.6	1954	05_09_2023	17	Sample
E2A	1.382	1673	06_09_2023	11_30	Sample
E2B	7.24	1673	06_09_2023	11_30	Sample
E2C	0.112	1673	06_09_2023	11_30	Sample
E3A	10.6	1406	06_09_2023	12_45	Sample
E3B	4.94	1406	06_09_2023	12_45	Sample
E3C	1.718	1406	06_09_2023	12_45	Sample
E4A	7.78	1318	06_09_2023	14	Sample
E4B	1.82	1318	06_09_2023	14	Sample
E4C	0.438	1318	06_09_2023	14	Sample
S1A	14.1	1954	05_09_2023	17	Sample
S1B	34.6	1954	05_09_2023	17	Sample
S1C	17	1954	05_09_2023	17	Sample
S2A	11.8	1673	06_09_2023	11_30	Sample
S2B	23.6	1673	06_09_2023	11_30	Sample
S2C	26.8	1673	06_09_2023	11_30	Sample
S3A	24.8	1406	06_09_2023	12_45	Sample
S3B	16.38	1406	06_09_2023	12_45	Sample
S3C	22	1406	06_09_2023	12_45	Sample
S4A	15.52	1318	06_09_2023	14	Sample
S4B	12.34	1318	06_09_2023	14	Sample
S4C	7.66	1318	06_09_2023	14	Sample
ETF	0	0	01_2024		Control
ETEX	0	0	01_2024		Control
STEX1	0	0	01_2024		Control
STEX2	0	0	01_2024		Control
TPCR1	0	0	01_2024		Control
