"","E1A_BHUM","E1B_BHUM","E1C_BHUM","E2A_BHUM","E2B_BHUM","E2C_BHUM","E3A_BHUM","E3B_BHUM","E3C_BHUM","E4A_BHUM","E4B_BHUM","E4C_BHUM","S1A_BHUM","S1B_BHUM","S1C_BHUM","S2A_BHUM","S2B_BHUM","S2C_BHUM","S3A_BHUM","S3B_BHUM","S3C_BHUM","S4A_BHUM","S4B_BHUM","S4C_BHUM","E1A","E2A","E3A","E4A","S1A","S2A","S3A","S4A"
"ASV1",50,198,80,4867,306,16,448,643,328,349,802,289,46086,13,47148,36869,0,96,0,9224,0,19656,8330,0,275,6821,955,468,36265,37830,0,17568
"ASV10",0,67,7,0,0,0,0,0,0,0,0,0,0,29199,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,7
"ASV102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV104",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0
"ASV11",0,9,0,14169,2989,0,2290,267,656,0,849,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,741,0,0,0,0,0
"ASV110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0
"ASV113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0
"ASV115",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV117",0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0
"ASV119",0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12",0,0,0,0,0,0,19,34,0,0,84,0,0,0,0,50,1809,15640,199,68,210,64,53,49,0,64,0,0,0,52,222,0
"ASV122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0
"ASV123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,7,0,0,0,0
"ASV124",0,0,0,7,0,31,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
"ASV127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
"ASV128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"ASV13",0,5,0,14,0,0,0,0,0,306,296,0,726,0,427,0,0,0,0,318,0,3116,3675,2448,12,0,0,302,616,0,0,2468
"ASV130",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"ASV133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV134",0,0,0,0,0,0,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
"ASV136",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"ASV138",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"ASV139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV14",0,22,0,1297,0,0,0,34,0,0,0,795,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ASV140",0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"ASV143",0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV144",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ASV147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
