"","E1A_BHUM","E1B_BHUM","E1C_BHUM","E2A_BHUM","E2B_BHUM","E2C_BHUM","E3A_BHUM","E3B_BHUM","E3C_BHUM","E4A_BHUM","E4B_BHUM","E4C_BHUM","ETEX_BHUM","ETF_BHUM","S1A_BHUM","S1B_BHUM","S1C_BHUM","S2A_BHUM","S2B_BHUM","S2C_BHUM","S3A_BHUM","S3B_BHUM","S3C_BHUM","S4A_BHUM","S4B_BHUM","S4C_BHUM","STEX1_BHUM","E1A","E2A","E3A","E4A","S1A","S2A","S3A","S4A"
"ASV1",95,327,92,6705,1286,26,492,1251,840,1332,1111,439,17,0,50257,9,52401,39989,43004,549,16925,21981,47179,21557,33080,35,23649,714,8197,2360,990,39323,41269,17593,18565
"ASV10",16,75,8,0,0,0,0,0,0,0,0,0,0,0,0,36574,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,2,0,0
"ASV102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,8,0,0,6,0,0,0,0,7,0,0,0,0,0,0,107,0,0,0
"ASV104",0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,19,102,20,0,0,0,0,35
"ASV105",0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",0,0,0,657,887,20493,303,5920,0,2916,971,1157,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,268,249,2376,0,0,3,0
"ASV110",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,193,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV113",0,0,0,4,0,0,0,71,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,35,0,0,0,0
"ASV114",17,23,13,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
"ASV115",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,0,0,62,9,41,0,0,20,0
"ASV117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0
"ASV118",0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,87,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,27,0,0,0
"ASV12",0,0,0,0,0,0,36,50,0,0,108,0,0,0,0,0,0,55,2148,24008,244,530,409,230,183,58,0,10,223,0,0,0,58,273,237
"ASV122",0,0,0,62,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV123",0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
