"","Phylum","Class","Order","Family","Genus","Species"
"ASV1","","","","","",""
"ASV10","","","","","",""
"ASV102","","","","","",""
"ASV104","","","","","",""
"ASV11","","","","","",""
"ASV110","","","","","",""
"ASV113","","","","","",""
"ASV115","","","","","",""
"ASV117","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra_rupicapra"
"ASV118","","","","","",""
"ASV119","","","","","",""
"ASV12","","","","","",""
"ASV122","","","","","",""
"ASV123","","","","","",""
"ASV124","","","","","",""
"ASV125","","","","","",""
"ASV127","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV128","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV13","","","","","",""
"ASV130","","","","","",""
"ASV131","","","","","",""
"ASV133","","","","","",""
"ASV134","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV135","","","","","",""
"ASV136","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV138","","","","","",""
"ASV139","","","","","",""
"ASV140","","","","","",""
"ASV141","","","","","",""
"ASV142","","","","","",""
"ASV143","","","","","",""
"ASV144","","","","","",""
"ASV147","","","","","",""
"ASV148","","","","","",""
"ASV15","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV150","","","","","",""
"ASV151","","","","","",""
"ASV152","","","","","",""
"ASV153","","","","","",""
"ASV154","","","","","",""
"ASV155","","","","","",""
"ASV156","","","","","",""
"ASV157","","","","","",""
"ASV158","","","","","",""
"ASV159","","","","","",""
"ASV16","","","","","",""
"ASV160","","","","","",""
"ASV161","","","","","",""
"ASV162","","","","","",""
"ASV164","","","","","",""
"ASV165","","","","","",""
"ASV166","","","","","",""
"ASV167","","","","","",""
"ASV168","","","","","",""
"ASV169","","","","","",""
"ASV170","","","","","",""
"ASV171","","","","","",""
"ASV172","","","","","",""
"ASV173","","","","","",""
"ASV175","","","","","",""
"ASV176","","","","","",""
"ASV177","","","","","",""
"ASV178","","","","","",""
"ASV18","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV180","","","","","",""
"ASV182","","","","","",""
"ASV183","","","","","",""
"ASV184","","","","","",""
"ASV185","","","","","",""
"ASV186","","","","","",""
"ASV187","","","","","",""
"ASV188","","","","","",""
"ASV19","","","","","",""
"ASV190","","","","","",""
"ASV191","","","","","",""
"ASV192","","","","","",""
"ASV194","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV195","","","","","",""
"ASV196","","","","","",""
"ASV197","","","","","",""
"ASV198","","","","","",""
"ASV199","","","","","",""
"ASV2","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV200","","","","","",""
"ASV201","","","","","",""
"ASV202","","","","","",""
"ASV203","","","","","",""
"ASV204","","","","","",""
"ASV205","","","","","",""
"ASV206","","","","","",""
"ASV207","","","","","",""
"ASV208","","","","","",""
"ASV209","","","","","",""
"ASV210","","","","","",""
"ASV211","","","","","",""
"ASV212","","","","","",""
"ASV213","","","","","",""
"ASV214","","","","","",""
"ASV215","","","","","",""
"ASV216","","","","","",""
"ASV217","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV218","","","","","",""
"ASV219","","","","","",""
"ASV22","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV220","","","","","",""
"ASV221","","","","","",""
"ASV222","","","","","",""
"ASV223","","","","","",""
"ASV224","","","","","",""
"ASV225","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV227","","","","","",""
"ASV228","","","","","",""
"ASV229","","","","","",""
"ASV23","","","","","",""
"ASV230","","","","","",""
"ASV231","","","","","",""
"ASV232","","","","","",""
"ASV233","","","","","",""
"ASV234","","","","","",""
"ASV235","","","","","",""
"ASV236","","","","","",""
"ASV237","","","","","",""
"ASV238","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV239","","","","","",""
"ASV24","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV240","","","","","",""
"ASV241","","","","","",""
"ASV242","","","","","",""
"ASV243","","","","","",""
"ASV244","","","","","",""
"ASV245","","","","","",""
"ASV25","","","","","",""
"ASV27","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis_catus"
"ASV28","","","","","",""
"ASV29","","","","","",""
"ASV31","","","","","",""
"ASV32","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV33","","","","","",""
"ASV34","","","","","",""
"ASV37","","","","","",""
"ASV38","","","","","",""
"ASV39","","","","","",""
"ASV4","","","","","",""
"ASV40","","","","","",""
"ASV41","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV42","","","","","",""
"ASV43","","","","","",""
"ASV44","","","","","",""
"ASV45","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis_catus"
"ASV46","","","","","",""
"ASV47","","","","","",""
"ASV49","","","","","",""
"ASV5","","","","","",""
"ASV50","","","","","",""
"ASV51","","","","","",""
"ASV53","","","","","",""
"ASV54","","","","","",""
"ASV57","","","","","",""
"ASV60","","","","","",""
"ASV61","","","","","",""
"ASV64","","","","","",""
"ASV65","","","","","",""
"ASV66","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV67","Chordata","Mammalia","Carnivora","Mustelidae","Martes","Martes_martes"
"ASV68","","","","","",""
"ASV69","","","","","",""
"ASV7","","","","","",""
"ASV70","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV71","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV72","","","","","",""
"ASV73","","","","","",""
"ASV74","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV75","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex_minutus"
"ASV76","","","","","",""
"ASV77","","","","","",""
"ASV78","","","","","",""
"ASV79","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV8","","","","","",""
"ASV81","","","","","",""
"ASV82","","","","","",""
"ASV83","","","","","",""
"ASV84","","","","","",""
"ASV85","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV86","","","","","",""
"ASV87","","","","","",""
"ASV88","","","","","",""
"ASV89","","","","","",""
"ASV9","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus_elaphus"
"ASV90","","","","","",""
"ASV92","","","","","",""
"ASV93","","","","","",""
"ASV95","","","","","",""
"ASV97","","","","","",""
"ASV98","","","","","",""
"ASV99","","","","","",""
