"","Phylum","Class","Order","Family","Genus","Species"
"ASV1","","","","","",""
"ASV10","","","","","",""
"ASV102","","","","","",""
"ASV104","","","","","",""
"ASV105","","","","","",""
"ASV11","","","","","",""
"ASV110","","","","","",""
"ASV113","","","","","",""
"ASV114","","","","","",""
"ASV115","","","","","",""
"ASV117","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra_rupicapra"
"ASV118","","","","","",""
"ASV119","","","","","",""
"ASV12","","","","","",""
"ASV122","","","","","",""
"ASV123","","","","","",""
"ASV125","","","","","",""
"ASV127","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV13","","","","","",""
"ASV130","","","","","",""
"ASV131","","","","","",""
"ASV133","","","","","",""
"ASV134","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV135","","","","","",""
"ASV136","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV137","","","","","",""
"ASV138","","","","","",""
"ASV139","","","","","",""
"ASV14","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV140","","","","","",""
"ASV141","","","","","",""
"ASV142","","","","","",""
"ASV143","","","","","",""
"ASV144","","","","","",""
"ASV147","","","","","",""
"ASV148","","","","","",""
"ASV15","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV150","","","","","",""
"ASV151","","","","","",""
"ASV152","","","","","",""
"ASV153","","","","","",""
"ASV154","","","","","",""
"ASV155","","","","","",""
"ASV156","","","","","",""
"ASV157","","","","","",""
"ASV158","","","","","",""
"ASV159","","","","","",""
"ASV16","","","","","",""
"ASV160","","","","","",""
"ASV161","","","","","",""
"ASV162","","","","","",""
"ASV164","","","","","",""
"ASV165","","","","","",""
"ASV166","","","","","",""
"ASV167","","","","","",""
"ASV168","","","","","",""
"ASV169","","","","","",""
"ASV17","","","","","",""
"ASV170","","","","","",""
"ASV171","","","","","",""
"ASV172","","","","","",""
"ASV173","","","","","",""
"ASV175","","","","","",""
"ASV176","","","","","",""
"ASV177","","","","","",""
"ASV18","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV180","","","","","",""
"ASV183","","","","","",""
"ASV186","","","","","",""
"ASV187","","","","","",""
"ASV188","","","","","",""
"ASV190","","","","","",""
"ASV191","","","","","",""
"ASV192","","","","","",""
"ASV193","","","","","",""
"ASV195","","","","","",""
"ASV196","","","","","",""
"ASV197","","","","","",""
"ASV198","","","","","",""
"ASV199","","","","","",""
"ASV2","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV200","","","","","",""
"ASV201","","","","","",""
"ASV202","","","","","",""
"ASV203","","","","","",""
"ASV204","","","","","",""
"ASV205","","","","","",""
"ASV206","","","","","",""
"ASV207","","","","","",""
"ASV208","","","","","",""
"ASV209","","","","","",""
"ASV21","Chordata","Mammalia","Rodentia","Gliridae","Muscardinus","Muscardinus_avellanarius"
"ASV210","","","","","",""
"ASV211","","","","","",""
"ASV212","","","","","",""
"ASV213","","","","","",""
"ASV214","","","","","",""
"ASV215","","","","","",""
"ASV217","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV218","","","","","",""
"ASV219","","","","","",""
"ASV22","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV221","","","","","",""
"ASV222","","","","","",""
"ASV223","","","","","",""
"ASV225","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV227","","","","","",""
"ASV228","","","","","",""
"ASV229","","","","","",""
"ASV23","","","","","",""
"ASV230","","","","","",""
"ASV232","","","","","",""
"ASV233","","","","","",""
"ASV234","","","","","",""
"ASV235","","","","","",""
"ASV236","","","","","",""
"ASV237","","","","","",""
"ASV238","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis_lupus"
"ASV239","","","","","",""
"ASV24","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus_scrofa"
"ASV240","","","","","",""
"ASV241","","","","","",""
"ASV242","","","","","",""
"ASV244","","","","","",""
"ASV245","","","","","",""
"ASV246","","","","","",""
"ASV247","","","","","",""
"ASV248","","","","","",""
"ASV249","","","","","",""
"ASV250","Chordata","Mammalia","Primates","Hominidae","Homo","Homo_sapiens"
"ASV251","","","","","",""
"ASV252","","","","","",""
"ASV253","","","","","",""
"ASV255","","","","","",""
"ASV256","","","","","",""
"ASV258","","","","","",""
"ASV259","","","","","",""
"ASV260","","","","","",""
"ASV262","","","","","",""
"ASV263","","","","","",""
"ASV264","","","","","",""
"ASV265","","","","","",""
"ASV266","","","","","",""
"ASV267","","","","","",""
"ASV268","","","","","",""
"ASV269","","","","","",""
"ASV27","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis_catus"
"ASV270","","","","","",""
"ASV271","","","","","",""
"ASV272","","","","","",""
"ASV273","","","","","",""
"ASV274","","","","","",""
"ASV275","","","","","",""
"ASV276","","","","","",""
"ASV277","","","","","",""
"ASV278","","","","","",""
"ASV279","","","","","",""
"ASV28","","","","","",""
"ASV280","","","","","",""
"ASV282","","","","","",""
"ASV283","","","","","",""
"ASV284","","","","","",""
"ASV285","","","","","",""
"ASV286","","","","","",""
"ASV287","","","","","",""
"ASV288","","","","","",""
"ASV289","","","","","",""
"ASV29","","","","","",""
"ASV290","","","","","",""
"ASV291","","","","","",""
"ASV292","","","","","",""
"ASV293","","","","","",""
"ASV294","","","","","",""
"ASV296","","","","","",""
"ASV298","","","","","",""
"ASV3","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos_taurus"
"ASV30","","","","","",""
"ASV300","","","","","",""
"ASV301","","","","","",""
"ASV302","","","","","",""
"ASV303","","","","","",""
"ASV304","","","","","",""
"ASV305","","","","","",""
"ASV306","","","","","",""
"ASV307","","","","","",""
"ASV308","","","","","",""
"ASV309","","","","","",""
"ASV31","","","","","",""
"ASV310","","","","","",""
"ASV311","","","","","",""
"ASV312","","","","","",""
"ASV313","","","","","",""
"ASV314","","","","","",""
"ASV315","","","","","",""
"ASV318","","","","","",""
"ASV319","","","","","",""
"ASV320","","","","","",""
"ASV321","","","","","",""
"ASV322","","","","","",""
"ASV323","","","","","",""
"ASV324","","","","","",""
"ASV325","","","","","",""
"ASV326","","","","","",""
"ASV327","","","","","",""
"ASV328","","","","","",""
"ASV329","","","","","",""
"ASV33","","","","","",""
"ASV330","","","","","",""
"ASV331","","","","","",""
"ASV332","","","","","",""
"ASV333","","","","","",""
"ASV334","","","","","",""
"ASV335","","","","","",""
"ASV336","","","","","",""
"ASV337","","","","","",""
"ASV338","","","","","",""
"ASV339","","","","","",""
"ASV34","","","","","",""
