"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus_alnobetula"
"ASV10","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium_sp."
"ASV100","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes_rubrum"
"ASV101","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae","Pterocarya","Pterocarya_fraxinifolia"
"ASV103","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Bartsia","Bartsia_alpina"
"ASV104","","","","","","",""
"ASV105","","","","","","",""
"ASV106","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Pulsatilla","Pulsatilla_chinensis"
"ASV107","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Melampyrum","Melampyrum_pratense"
"ASV108","","","","","","",""
"ASV109","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Digitaria","Digitaria_ciliaris"
"ASV11","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Athyriaceae","Athyrium","Athyrium_brevifrons"
"ASV111","","","","","","",""
"ASV112","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana","Valeriana_elongata"
"ASV113","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Melampyrum","Melampyrum_sylvaticum"
"ASV114","","","","","","",""
"ASV115","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Oreojuncus","Oreojuncus_trifidus"
"ASV116","","","","","","",""
"ASV117","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum_confertum"
"ASV119","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Onagraceae","Oenothera","Oenothera_serrulata"
"ASV12","","","","","","",""
"ASV120","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Pedaliaceae","Sesamum","Sesamum_radiatum"
"ASV122","","","","","","",""
