"","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",NA
"ASV10","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"ASV100","","","","","","",""
"ASV101","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae",NA,NA
"ASV103","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Orobanchaceae","Bartsia","Bartsia_alpina"
"ASV104","","","","","","",""
"ASV105","","","","","","",""
"ASV106","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone",NA
"ASV107","","","","","","",""
"ASV108","","","","","","",""
"ASV109","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV11","","","","","","",""
"ASV111","","","","","","",""
"ASV112","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana",NA
"ASV113","","","","","","",""
"ASV114","","","","","","",""
"ASV115","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus",NA
"ASV116","","","","","","",""
"ASV117","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Hypericaceae",NA,NA
"ASV119","","","","","","",""
"ASV12","","","","","","",""
"ASV120","","","","","","",""
"ASV122","","","","","","",""
"ASV123","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia_pratensis"
"ASV125","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV126","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae",NA,NA
"ASV127","","","","","","",""
"ASV128","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Knautia",NA
"ASV129","","","","","","",""
"ASV13","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae",NA,NA
"ASV130","","","","","","",""
"ASV132","","","","","","",""
"ASV133","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",NA
"ASV136","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA,NA
"ASV137","","","","","","",""
"ASV139","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Ulmaceae",NA,NA
"ASV140","","","","","","",""
"ASV141","","","","","","",""
"ASV142","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae",NA,NA
"ASV143","","","","","","",""
"ASV145","","","","","","",""
"ASV149","","","","","","",""
"ASV15","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae",NA,NA
"ASV151","","","","","","",""
"ASV152","","","","","","",""
"ASV153","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Carex",NA
"ASV155","","","","","","",""
"ASV156","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Bougainvillea","Bougainvillea_sp."
"ASV16","","","","","","",""
"ASV160","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV162","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA
"ASV163","","","","","","",""
"ASV164","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_biflora"
"ASV168","","","","","","",""
"ASV169","","","","","","",""
"ASV17","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae",NA,NA
"ASV171","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae",NA,NA
"ASV173","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae","Musa",NA
"ASV174","","","","","","",""
"ASV176","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium",NA
"ASV178","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana",NA
"ASV18","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV181","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia",NA
"ASV184","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV186","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA,NA
"ASV188","","","","","","",""
"ASV19","","","","","","",""
"ASV190","","","","","","",""
"ASV192","","","","","","",""
"ASV193","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Gymnadenia",NA
"ASV194","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus","Juniperus_phoenicea"
"ASV196","","","","","","",""
"ASV197","","","","","","",""
"ASV199","","","","","","",""
"ASV2","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea",NA
"ASV20","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia_pratensis"
"ASV200","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Veronica",NA
"ASV202","","","","","","",""
"ASV204","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Cistaceae","Helianthemum","Helianthemum_nummularium"
"ASV205","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica_dioica"
"ASV207","","","","","","",""
"ASV209","","","","","","",""
"ASV21","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus_idaeus"
"ASV210","","","","","","",""
"ASV211","","","","","","",""
"ASV212","","","","","","",""
"ASV213","","","","","","",""
"ASV214","Viridiplantae","Streptophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis",NA
"ASV215","","","","","","",""
"ASV22","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium_uliginosum"
"ASV220","","","","","","",""
"ASV223","","","","","","",""
"ASV226","","","","","","",""
"ASV228","","","","","","",""
"ASV229","","","","","","",""
"ASV23","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Eriophorum",NA
"ASV230","","","","","","",""
"ASV231","","","","","","",""
"ASV232","","","","","","",""
"ASV233","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus","Lathyrus_setifolius"
"ASV234","","","","","","",""
"ASV24","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla",NA
"ASV240","","","","","","",""
"ASV242","","","","","","",""
"ASV245","Viridiplantae","Streptophyta","Magnoliopsida","Laurales","Lauraceae",NA,NA
"ASV246","","","","","","",""
"ASV249","","","","","","",""
"ASV25","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA
"ASV250","","","","","","",""
"ASV251","","","","","","",""
"ASV252","","","","","","",""
"ASV253","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","Viburnum_opulus"
"ASV256","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Taxaceae","Taxus",NA
"ASV257","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos_uva-ursi"
"ASV259","","","","","","",""
"ASV26","","","","","","",""
"ASV260","","","","","","",""
"ASV262","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola",NA
"ASV263","","","","","","",""
"ASV268","","","","","","",""
"ASV269","","","","","","",""
"ASV27","","","","","","",""
"ASV271","","","","","","",""
"ASV273","","","","","","",""
"ASV274","","","","","","",""
"ASV275","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Soldanella",NA
"ASV276","","","","","","",""
"ASV277","","","","","","",""
"ASV278","","","","","","",""
"ASV279","","","","","","",""
"ASV28","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV281","","","","","","",""
"ASV282","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV283","","","","","","",""
"ASV285","","","","","","",""
"ASV286","","","","","","",""
"ASV287","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae",NA,NA
"ASV288","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_tricolor"
"ASV289","","","","","","",""
"ASV29","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus",NA
"ASV290","","","","","","",""
"ASV291","","","","","","",""
"ASV293","","","","","","",""
"ASV294","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula",NA
"ASV296","","","","","","",""
"ASV297","","","","","","",""
"ASV298","","","","","","",""
"ASV299","","","","","","",""
"ASV3","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae",NA,NA
"ASV30","Viridiplantae","Streptophyta","Polypodiopsida","Polypodiales","Dryopteridaceae",NA,NA
