ASV;Phylum;Class;Order;Family;Genus;Species
ASV1;;;;;;
ASV4;;;;;;
ASV5;;;;;;
ASV8;;;;;;
ASV6;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus_elaphus
ASV7;;;;;;
ASV3;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus
ASV12;;;;;;
ASV2;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV11;;;;;;
ASV13;;;;;;
ASV10;;;;;;
ASV16;;;;;;
ASV9;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;Cervus_elaphus
ASV14;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV19;;;;;;
ASV25;;;;;;
ASV21;Chordata;Mammalia;Rodentia;Gliridae;Muscardinus;Muscardinus_avellanarius
ASV22;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV18;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus_scrofa
ASV29;;;;;;
ASV23;;;;;;
ASV15;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis_lupus
ASV30;;;;;;
ASV28;;;;;;
ASV34;;;;;;
ASV37;;;;;;
ASV24;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus_scrofa
ASV33;;;;;;
ASV39;;;;;;
ASV17;;;;;;
ASV40;;;;;;
ASV32;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus_scrofa
ASV35;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV43;;;;;;
ASV42;;;;;;
ASV44;;;;;;
ASV46;;;;;;
ASV47;;;;;;
ASV38;;;;;;
ASV49;;;;;;
ASV27;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis_catus
ASV51;;;;;;
ASV53;;;;;;
ASV41;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos_taurus
ASV54;;;;;;
ASV31;;;;;;
ASV58;;;;;;
ASV60;;;;;;
ASV57;;;;;;
ASV61;;;;;;
ASV65;;;;;;
ASV69;;;;;;
ASV68;;;;;;
ASV45;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis_catus
ASV62;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV66;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens
ASV72;;;;;;
ASV73;;;;;;
ASV50;;;;;;
ASV48;Chordata;Mammalia;Rodentia;Cricetidae;Myodes;Myodes_glareolus
ASV55;;;;;;
ASV76;;;;;;
ASV77;;;;;;
