ASV;Subgroups;Infragroups;Class;Order;Family;Genus;Species
ASV2;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Picea;Picea_likiangensis
ASV12;;;;;;;
ASV3;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Pseudotsuga;Pseudotsuga_menziesii
ASV4;;;;;;;
ASV14;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium_amoenum
ASV1;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Alnus_alnobetula
ASV8;;;;;;;
ASV5;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Chionanthus;Chionanthus_ramiflorus
ASV7;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago_atrata
ASV9;;;;;;;
ASV11;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium_brevifrons
ASV18;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Hordeum;Hordeum_vulgare
ASV26;;;;;;;
ASV15;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Rhododendron;Rhododendron_sp.
ASV6;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Sorbus;Sorbus_commixta
ASV19;Viridiplantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Austrobryonia;Austrobryonia_centralis
ASV13;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Anethum;Anethum_foeniculum
ASV20;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia_austriaca
ASV22;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium_uliginosum
ASV34;;;;;;;
ASV16;;;;;;;
ASV28;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum;Phleum_pratense
ASV23;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Eriophorum_chamissonis
ASV36;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus_balticus
ASV29;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;Prunus_fasciculata
ASV33;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;Plantago_radicata
ASV40;;;;;;;
ASV27;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza_sativa
ASV30;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;Dryopteris;Dryopteris_erythrosora
ASV42;;;;;;;
ASV48;;;;;;;
ASV31;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Saxifraga;Saxifraga_marginata
ASV49;;;;;;;
ASV25;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Atractylis;Atractylis_carduus
ASV44;;;;;;;
ASV17;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix_myrtilloides
ASV54;;;;;;;
ASV45;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia;Deschampsia_cespitosa
ASV47;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Calluna_vulgaris
ASV43;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Phyteuma;Phyteuma_hemisphaericum
ASV60;;;;;;;
ASV41;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;Festuca_rupicola
ASV37;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Scorzoneroides;Scorzoneroides_carpetana
ASV55;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium_brunnescens
ASV24;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Alchemilla;Alchemilla_pinnata
ASV38;Viridiplantae;Streptophyta;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;Sambucus_adnata
ASV21;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus_idaeus
