ASV;Subgroups;Infragroups;Class;Order;Family;Genus;Species
ASV1;Viridiplantae;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;NA
ASV2;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;Picea;NA
ASV3;Viridiplantae;Streptophyta;Pinopsida;Pinales;Pinaceae;NA;NA
ASV4;;;;;;;
ASV5;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;Fraxinus_excelsior
ASV8;;;;;;;
ASV6;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;NA;NA
ASV12;;;;;;;
ASV7;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;NA
ASV9;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;NA;NA
ASV10;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA
ASV14;;;;;;;
ASV16;;;;;;;
ASV13;Viridiplantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae;NA;NA
ASV19;;;;;;;
ASV15;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;NA;NA
ASV11;;;;;;;
ASV18;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV26;;;;;;;
ASV22;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Vaccinium;Vaccinium_uliginosum
ASV21;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus_idaeus
ASV24;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Alchemilla;NA
ASV20;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Salvia;Salvia_pratensis
ASV17;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;NA;NA
ASV29;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Prunus;NA
ASV25;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA
ASV30;Viridiplantae;Streptophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;NA;NA
ASV34;;;;;;;
ASV35;;;;;;;
ASV33;Viridiplantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae;Plantago;NA
ASV27;;;;;;;
ASV40;;;;;;;
ASV28;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV41;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV38;;;;;;;
ASV39;;;;;;;
ASV31;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Saxifraga;Saxifraga_oppositifolia
ASV45;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV42;;;;;;;
ASV36;;;;;;;
ASV37;;;;;;;
ASV44;Viridiplantae;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Silene;NA
ASV49;;;;;;;
ASV48;;;;;;;
ASV43;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;NA;NA
ASV54;;;;;;;
ASV46;;;;;;;
ASV50;Viridiplantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;NA;NA
ASV60;;;;;;;
ASV47;Viridiplantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Calluna_vulgaris
ASV55;Viridiplantae;Streptophyta;Magnoliopsida;Myrtales;Onagraceae;NA;NA
ASV23;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;NA
ASV51;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon;NA
ASV62;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;NA
ASV63;Viridiplantae;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;NA
ASV71;;;;;;;
ASV58;Viridiplantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;NA;NA
ASV64;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Poaceae;NA;NA
ASV72;;;;;;;
ASV52;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Potentilla;NA
ASV53;Viridiplantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;NA;NA
ASV75;Viridiplantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;NA;NA
ASV61;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;NA
ASV74;Viridiplantae;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula;NA
ASV67;Viridiplantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rosa;NA
ASV82;;;;;;;
ASV83;;;;;;;
ASV87;;;;;;;
ASV78;Viridiplantae;Streptophyta;Magnoliopsida;Saxifragales;Saxifragaceae;Saxifraga;Saxifraga_rotundifolia
ASV89;;;;;;;
ASV66;;;;;;;
